date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2017-12-01,2.533,2017-10-31,2017-11-06,25,True,False
2017-12-04,2.533,2017-10-31,2017-11-06,28,True,False
2017-12-05,2.533,2017-10-31,2017-11-06,29,True,False
2017-12-06,2.533,2017-10-31,2017-11-06,30,True,False
2017-12-07,0.957,2017-11-30,2017-12-07,0,True,False
2017-12-08,0.957,2017-11-30,2017-12-07,1,True,False
2017-12-11,0.957,2017-11-30,2017-12-07,4,True,False
2017-12-12,0.957,2017-11-30,2017-12-07,5,True,False
2017-12-13,0.957,2017-11-30,2017-12-07,6,True,False
2017-12-14,0.957,2017-11-30,2017-12-07,7,True,False
2017-12-15,0.957,2017-11-30,2017-12-07,8,True,False
2017-12-18,0.957,2017-11-30,2017-12-07,11,True,False
2017-12-19,0.957,2017-11-30,2017-12-07,12,True,False
2017-12-20,0.957,2017-11-30,2017-12-07,13,True,False
2017-12-21,0.957,2017-11-30,2017-12-07,14,True,False
2017-12-22,0.957,2017-11-30,2017-12-07,15,True,False
2017-12-26,0.957,2017-11-30,2017-12-07,19,True,False
2017-12-27,0.957,2017-11-30,2017-12-07,20,True,False
2017-12-28,0.957,2017-11-30,2017-12-07,21,True,False
2017-12-29,0.957,2017-11-30,2017-12-07,22,True,False
2018-01-02,0.957,2017-11-30,2017-12-07,26,True,False
2018-01-03,0.957,2017-11-30,2017-12-07,27,True,False
2018-01-04,0.957,2017-11-30,2017-12-07,28,True,False
2018-01-05,1.308,2017-12-31,2018-01-05,0,True,False
2018-01-08,1.308,2017-12-31,2018-01-05,3,True,False
2018-01-09,1.308,2017-12-31,2018-01-05,4,True,False
2018-01-10,1.308,2017-12-31,2018-01-05,5,True,False
2018-01-11,1.308,2017-12-31,2018-01-05,6,True,False
2018-01-12,1.308,2017-12-31,2018-01-05,7,True,False
2018-01-16,1.308,2017-12-31,2018-01-05,11,True,False
2018-01-17,1.308,2017-12-31,2018-01-05,12,True,False
2018-01-18,1.308,2017-12-31,2018-01-05,13,True,False
2018-01-19,1.308,2017-12-31,2018-01-05,14,True,False
2018-01-22,1.308,2017-12-31,2018-01-05,17,True,False
2018-01-23,1.308,2017-12-31,2018-01-05,18,True,False
2018-01-24,1.308,2017-12-31,2018-01-05,19,True,False
2018-01-25,1.308,2017-12-31,2018-01-05,20,True,False
2018-01-26,1.308,2017-12-31,2018-01-05,21,True,False
2018-01-29,1.308,2017-12-31,2018-01-05,24,True,False
2018-01-30,1.308,2017-12-31,2018-01-05,25,True,False
2018-01-31,1.308,2017-12-31,2018-01-05,26,True,False
2018-02-01,1.308,2017-12-31,2018-01-05,27,True,False
2018-02-02,1.308,2017-12-31,2018-01-05,28,True,False
2018-02-05,1.308,2017-12-31,2018-01-05,31,True,False
2018-02-07,0.973,2018-01-31,2018-02-07,0,True,False
2018-02-08,0.973,2018-01-31,2018-02-07,1,True,False
2018-02-09,0.973,2018-01-31,2018-02-07,2,True,False
2018-02-12,0.973,2018-01-31,2018-02-07,5,True,False
2018-02-13,0.973,2018-01-31,2018-02-07,6,True,False
2018-02-14,0.973,2018-01-31,2018-02-07,7,True,False
2018-02-15,0.973,2018-01-31,2018-02-07,8,True,False
2018-02-16,0.973,2018-01-31,2018-02-07,9,True,False
2018-02-20,0.973,2018-01-31,2018-02-07,13,True,False
2018-02-21,0.973,2018-01-31,2018-02-07,14,True,False
2018-02-22,0.973,2018-01-31,2018-02-07,15,True,False
2018-02-23,0.973,2018-01-31,2018-02-07,16,True,False
2018-02-26,0.973,2018-01-31,2018-02-07,19,True,False
2018-02-27,0.973,2018-01-31,2018-02-07,20,True,False
2018-02-28,0.973,2018-01-31,2018-02-07,21,True,False
2018-03-01,0.973,2018-01-31,2018-02-07,22,True,False
2018-03-02,0.973,2018-01-31,2018-02-07,23,True,False
2018-03-05,0.973,2018-01-31,2018-02-07,26,True,False
2018-03-06,0.973,2018-01-31,2018-02-07,27,True,False
2018-03-07,0.973,2018-01-31,2018-02-07,28,True,False
2018-03-08,0.973,2018-01-31,2018-02-07,29,True,False
2018-03-09,0.973,2018-01-31,2018-02-07,30,True,False
2018-04-05,1.527,2018-03-31,2018-04-05,0,True,False
2018-04-06,1.527,2018-03-31,2018-04-05,1,True,False
2018-04-09,1.527,2018-03-31,2018-04-05,4,True,False
2018-04-10,1.527,2018-03-31,2018-04-05,5,True,False
2018-04-11,1.527,2018-03-31,2018-04-05,6,True,False
2018-04-12,1.527,2018-03-31,2018-04-05,7,True,False
2018-04-13,1.527,2018-03-31,2018-04-05,8,True,False
2018-04-16,1.527,2018-03-31,2018-04-05,11,True,False
2018-04-17,1.527,2018-03-31,2018-04-05,12,True,False
2018-04-18,1.527,2018-03-31,2018-04-05,13,True,False
2018-04-19,1.527,2018-03-31,2018-04-05,14,True,False
2018-04-20,1.527,2018-03-31,2018-04-05,15,True,False
2018-04-23,1.527,2018-03-31,2018-04-05,18,True,False
2018-04-24,1.527,2018-03-31,2018-04-05,19,True,False
2018-04-25,1.527,2018-03-31,2018-04-05,20,True,False
2018-04-26,1.527,2018-03-31,2018-04-05,21,True,False
2018-04-27,1.527,2018-03-31,2018-04-05,22,True,False
2018-04-30,1.527,2018-03-31,2018-04-05,25,True,False
2018-05-01,1.527,2018-03-31,2018-04-05,26,True,False
2018-05-02,2.338,2018-04-30,2018-05-02,0,True,False
2018-05-03,2.338,2018-04-30,2018-05-02,1,True,False
2018-05-04,2.338,2018-04-30,2018-05-02,2,True,False
2018-05-07,2.338,2018-04-30,2018-05-02,5,True,False
2018-05-08,2.338,2018-04-30,2018-05-02,6,True,False
2018-05-09,2.338,2018-04-30,2018-05-02,7,True,False
2018-05-10,2.338,2018-04-30,2018-05-02,8,True,False
2018-05-11,2.338,2018-04-30,2018-05-02,9,True,False
2018-05-14,2.338,2018-04-30,2018-05-02,12,True,False
2018-05-15,2.338,2018-04-30,2018-05-02,13,True,False
2018-05-16,2.338,2018-04-30,2018-05-02,14,True,False
2018-05-17,2.338,2018-04-30,2018-05-02,15,True,False
2018-05-18,2.338,2018-04-30,2018-05-02,16,True,False
2018-05-21,2.338,2018-04-30,2018-05-02,19,True,False
2018-05-22,2.338,2018-04-30,2018-05-02,20,True,False
2018-05-23,2.338,2018-04-30,2018-05-02,21,True,False
2018-05-24,2.338,2018-04-30,2018-05-02,22,True,False
2018-05-25,2.338,2018-04-30,2018-05-02,23,True,False
2018-05-29,2.338,2018-04-30,2018-05-02,27,True,False
2018-05-30,2.338,2018-04-30,2018-05-02,28,True,False
2018-05-31,2.338,2018-04-30,2018-05-02,29,True,False
2018-06-01,2.338,2018-04-30,2018-05-02,30,True,False
2018-06-08,2.251,2018-05-31,2018-06-08,0,True,False
2018-06-11,2.251,2018-05-31,2018-06-08,3,True,False
2018-06-12,2.251,2018-05-31,2018-06-08,4,True,False
2018-06-13,2.251,2018-05-31,2018-06-08,5,True,False
2018-06-14,2.251,2018-05-31,2018-06-08,6,True,False
2018-06-15,2.251,2018-05-31,2018-06-08,7,True,False
2018-06-18,2.251,2018-05-31,2018-06-08,10,True,False
2018-06-19,2.251,2018-05-31,2018-06-08,11,True,False
2018-06-20,2.251,2018-05-31,2018-06-08,12,True,False
2018-06-21,2.251,2018-05-31,2018-06-08,13,True,False
2018-06-22,2.251,2018-05-31,2018-06-08,14,True,False
2018-06-25,2.251,2018-05-31,2018-06-08,17,True,False
2018-06-26,2.251,2018-05-31,2018-06-08,18,True,False
2018-06-27,2.251,2018-05-31,2018-06-08,19,True,False
2018-06-28,2.251,2018-05-31,2018-06-08,20,True,False
2018-06-29,2.251,2018-05-31,2018-06-08,21,True,False
2018-07-02,2.251,2018-05-31,2018-06-08,24,True,False
