permit_id,facility_name,outfall,unit,unit_class,basis,value_type,date,value_raw,value_num,qualifier,nodi_code,nodi_desc,version,received_date
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2017-10-31,.09,0.09,=,,,4,2017-11-09
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2018-02-28,.09,0.09,=,,,4,2018-03-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2018-05-31,.09,0.09,=,,,4,2018-06-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2018-09-30,.09,0.09,=,,,4,2018-10-04
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2018-10-31,.09,0.09,=,,,4,2018-11-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-01-31,.09,0.09,=,,,4,2019-02-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-03-31,.09,0.09,=,,,4,2019-04-02
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-05-31,.09,0.09,=,,,4,2019-06-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-06-30,.09,0.09,=,,,4,2019-07-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-07-31,.09,0.09,=,,,4,2019-08-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-09-30,.09,0.09,=,,,4,2019-10-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2019-10-31,.09,0.09,=,,,4,2019-11-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-02-29,.09,0.09,=,,,4,2020-03-09
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-03-31,.09,0.09,=,,,4,2020-04-10
