month,avc040_present,format,days_present,days_by_dir,missing_dates,records,directions,lanes,units,dup_keys_file,dup_keys_station,lane0_coexist_groups_file,station_lane0_rows,zero_hours,min_hourly_veh,max_hourly_veh,dst_date,dst_overlap,source_quality
2016-11,False,fixed_legacy,0,,2016-11-01;2016-11-02;2016-11-03;2016-11-04;2016-11-05;2016-11-06;2016-11-07;2016-11-08;2016-11-09;2016-11-10;2016-11-11;2016-11-12;2016-11-13;2016-11-14;2016-11-15;2016-11-16;2016-11-17;2016-11-18;2016-11-19;2016-11-20;2016-11-21;2016-11-22;2016-11-23;2016-11-24;2016-11-25;2016-11-26;2016-11-27;2016-11-28;2016-11-29;2016-11-30,0,,,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,,,2016-11-06,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_nov2016_quality.json
2016-12,True,fixed_legacy,10,3:10;7:10,2016-12-01;2016-12-02;2016-12-03;2016-12-04;2016-12-05;2016-12-06;2016-12-07;2016-12-08;2016-12-09;2016-12-10;2016-12-11;2016-12-12;2016-12-13;2016-12-14;2016-12-15;2016-12-16;2016-12-17;2016-12-18;2016-12-19;2016-12-20;2016-12-21,20,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,5,276,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_dec2016_quality.json
2017-01,True,fixed_legacy,26,3:26;7:26,2017-01-11;2017-01-12;2017-01-13;2017-01-14;2017-01-15,52,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,341,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jan2017_quality.json
2017-02,True,fixed_legacy,28,3:28;7:28,,56,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,387,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_feb2017_quality.json
2017-03,True,fixed_legacy,30,3:30;7:30,2017-03-12,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,407,2017-03-12,True,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_mar2017_quality.json
2017-04,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,345,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_apr2017_quality.json
2017-05,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,357,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_may2017_quality.json
2017-06,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,376,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jun2017_quality.json
2017-07,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,5,387,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jul2017_quality.json
2017-08,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,5,420,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_aug2017_quality.json
