date,max_temp_f,min_temp_f,precip_in
2022-09-01,78.8,68.4,0.16
2022-09-02,89,68.4,0.14
2022-09-03,92.7,64,
2022-09-04,87.4,66.7,
2022-09-05,87.6,61.5,
2022-09-06,91.4,63,
2022-09-07,88.5,64,
2022-09-08,88.3,60,
2022-09-09,89.6,58.8,
2022-09-10,90,58.5,
2022-09-11,79.7,53.2,0.1
2022-09-12,85.5,47,
2022-09-13,92,53.2,
2022-09-14,90.5,64,
2022-09-15,89.8,55.4,
2022-09-16,92.3,64,
2022-09-17,95.7,71.6,
2022-09-18,96.4,73.6,
2022-09-19,97.7,69.8,
2022-09-20,97.7,70,
2022-09-21,99.7,71,
2022-09-22,80,60,
2022-09-23,93.4,55.6,
2022-09-24,88.5,66.2,
2022-09-25,87,62.6,
2022-09-26,85,53.4,
2022-09-27,90.3,48.7,
2022-09-28,89.2,52.2,
2022-09-29,80.6,58,
2022-09-30,81.7,49,
2022-10-01,84.7,43.7,
2022-10-02,85,45,
2022-10-03,85.8,44,
2022-10-04,85.3,46,
2022-10-05,85,52.7,
2022-10-06,85,54,
2022-10-07,76,52.2,
2022-10-08,71.4,43.5,
2022-10-09,78,47.8,
2022-10-10,75.2,54.7,0.32
2022-10-11,78.4,62,0.18
2022-10-12,80,51.4,
2022-10-13,74.8,46.4,
2022-10-14,85.5,45,
2022-10-15,88,54.3,
2022-10-16,71,55.4,
2022-10-17,61,39,
2022-10-18,53.8,30,
2022-10-19,65.7,25.9,
2022-10-20,77.4,35.6,
2022-10-21,90,48.7,
2022-10-22,86.5,67,
2022-10-23,83,67.8,
2022-10-24,74.8,51,1.9
2022-10-25,64.4,43,1.58
2022-10-26,69,35,0.04
2022-10-27,68,41.5,
2022-10-28,66.7,49.5,0.1
2022-10-29,67.6,51,
2022-10-30,69.8,47,
2022-10-31,73.8,44,
2022-11-01,78,46.6,
2022-11-02,69,53.8,
2022-11-03,74.8,56.8,
2022-11-04,75.4,41.5,1.46
2022-11-05,61.5,39.2,
2022-11-06,71.4,50.2,
2022-11-07,69,49.6,
2022-11-08,69.4,63,0.16
2022-11-09,77.4,66.6,
2022-11-10,74.3,44,1.98
2022-11-11,44.2,31.1,0.22
2022-11-12,45.3,26.1,
2022-11-13,51.4,23.7,
2022-11-14,41.2,35.4,0.08
2022-11-15,45,28.9,
2022-11-16,43.3,22.6,
2022-11-17,55.6,22.5,
2022-11-18,33,25.5,
2022-11-19,45,21.2,
2022-11-20,50.2,18.1,
2022-11-21,58.3,27.1,
2022-11-22,60.8,37,
2022-11-23,53.2,48.7,
2022-11-24,53,46.8,
2022-11-25,55.2,33.3,
2022-11-26,49.5,43.3,1.68
2022-11-27,50,35,0.02
2022-11-28,62.6,29.1,
2022-11-29,65.3,31.5,
2022-11-30,43.7,23.2,
2022-12-01,53.2,25.5,
2022-12-02,60.8,43.5,
2022-12-03,44,28.9,
2022-12-04,51.4,32.5,
2022-12-05,67.8,40.3,
2022-12-06,49.6,42.3,
2022-12-07,49,42.8,0.52
2022-12-08,57.2,46.6,0.44
2022-12-09,53.4,35.6,0.34
2022-12-10,49.6,37,0.66
2022-12-11,46.4,36.5,
2022-12-12,53.6,46.4,0.14
2022-12-13,63.5,39.6,1.09
2022-12-14,43.2,29.3,
2022-12-15,43.5,26.6,
2022-12-16,42.8,28.4,
2022-12-17,43.7,23.7,
2022-12-18,52.7,20.1,
2022-12-19,51.6,40.5,
2022-12-20,40.5,25.3,
2022-12-21,45,25.7,
2022-12-22,38.7,1.9,0.04
2022-12-23,17.4,3.2,
2022-12-24,29.7,6.8,
2022-12-25,41.2,12.2,
2022-12-26,43.5,14.2,
2022-12-27,47.8,13.8,
2022-12-28,62.6,39.2,
2022-12-29,68,42,
2022-12-30,56.7,31.1,
2022-12-31,66,30.6,
2023-01-01,71.6,34,
2023-01-02,70.2,43,
2023-01-03,51,33,
2023-01-04,51.8,27.7,
2023-01-05,53,27.1,
2023-01-06,62,25.3,
2023-01-07,52.3,31.8,
2023-01-08,57.7,23.4,
2023-01-09,65.8,31.1,
2023-01-10,69,27,
2023-01-11,64.4,37,
2023-01-12,48.7,30.6,
2023-01-13,48.4,20.1,
2023-01-14,55.6,26.4,
2023-01-15,62.6,44.6,
2023-01-16,64,34.7,
2023-01-17,62.6,30,
2023-01-18,64,38.8,0.58
2023-01-19,47.8,27.3,
2023-01-20,55.6,22.5,
2023-01-21,46.8,35,
2023-01-22,38.7,23.5,
2023-01-23,48.2,20.1,
2023-01-24,36.5,29.7,0.58
2023-01-25,42.8,27.7,
2023-01-26,47,24.6,
2023-01-27,58,32.2,
2023-01-28,62.4,37.4,
2023-01-29,35.6,20.7,
2023-01-30,23,16.7,0.1
2023-01-31,24.8,14.7,
2023-02-01,29.8,13.5,
2023-02-02,47.3,27,
2023-02-03,49.8,19.4,
2023-02-04,62,35,
2023-02-05,65.8,27.9,
2023-02-06,69,43.2,0.38
2023-02-07,46,38.7,1.22
2023-02-08,42.3,33.3,0.56
2023-02-09,52.3,31.6,
2023-02-10,43.5,25.3,
2023-02-11,53,22.3,
2023-02-12,66.4,24.8,
2023-02-13,63,31.8,
2023-02-14,66.2,43.3,0.92
2023-02-15,60,37.4,
2023-02-16,37.6,28.2,
2023-02-17,48.7,20.7,
2023-02-18,48.6,28.9,
2023-02-19,68.2,38.3,
2023-02-20,63,40.5,
2023-02-21,71.6,38,
2023-02-22,73.4,34.7,0.14
2023-02-23,39,21.9,
2023-02-24,33.6,24.6,
2023-02-25,43.2,29.7,
2023-02-26,65.3,43.7,0.38
2023-02-27,71.8,39.2,
2023-02-28,76.6,33.8,
2023-03-01,64,43.7,
2023-03-02,52.7,41,0.26
2023-03-03,60.3,32,
2023-03-04,65.8,32.7,
2023-03-05,78.4,39.7,
2023-03-06,69.6,55,
2023-03-07,55,44,0.4
2023-03-08,54.7,44.2,
2023-03-09,55.4,40.3,0.18
2023-03-10,55.6,33,
2023-03-11,78.3,43.7,
