month,usd_gal,fuel_50l,hourly_wage,fwh,umcsent
2022-03,4.22175,55.76344438251074,31.8,1.7535674334122875,59.4
2022-04,4.1085,54.26756943105238,31.96,1.697984024751326,65.2
2022-05,4.4436,58.69377425430798,32.1,1.8284664876731458,58.4
2022-06,4.929,65.10523298665137,32.19,2.022529760380596,50.0
2022-07,4.5592500000000005,60.22134986698931,32.34,1.8621320305191498,51.5
2022-08,3.975,52.504220150525306,32.44,1.6185024707313598,58.2
2022-09,3.70025,48.87515487093868,32.57,1.5006188170383383,58.6
2022-10,3.8152,50.39348445742997,32.7,1.5410851516033628,59.9
2022-11,3.685,48.67372358608446,32.82,1.4830506881805139,56.7
2022-12,3.21,42.39963438570723,32.94,1.2871777287707113,59.8
2023-01,3.3391999999999995,44.106186648209835,33.02,1.3357415702062336,64.9
2023-02,3.38875,44.76067321637551,33.15,1.3502465525301812,66.9
2023-03,3.4219999999999997,45.19985946040191,33.27,1.3585770802645598,62.0
2023-04,3.6029999999999998,47.59061766096671,33.43,1.4235901184853936,63.7
2023-05,3.5548,46.95396271473896,33.5,1.4016108273056405,59.0
2023-06,3.571,47.16794217799393,33.69,1.4000576485008587,64.2
2023-07,3.597,47.51136600790932,33.85,1.4035854064374982,71.5
2023-08,3.83975,50.71775580452316,33.89,1.4965404486433507,69.4
2023-09,3.8360000000000003,50.66822352136228,34.01,1.4898036907192673,67.8
2023-10,3.6128,47.72006202762712,34.08,1.4002365618435189,63.8
2023-11,3.318,43.82616414074037,34.17,1.2825918683271982,61.3
2023-12,3.134,41.395780113646865,34.29,1.2072260167292757,69.7
2024-01,3.0753999999999997,40.62175563545296,34.47,1.1784669461982293,79.0
2024-02,3.2115,42.419447298971576,34.52,1.228836827896048,76.9
2024-03,3.4255,45.24608959135206,34.65,1.305803451409872,79.4
2024-04,3.6114000000000006,47.70156997524707,34.76,1.3723121396791447,77.2
2024-05,3.6029999999999998,47.59061766096671,34.89,1.3640188495547925,69.1
2024-06,3.4545,45.62913924779614,35.01,1.303317316418056,68.2
2024-07,3.4838,46.016151486893094,35.08,1.311748902134923,66.4
2024-08,3.38925,44.76727752079695,35.22,1.2710754548778238,67.9
2024-09,3.2138,42.44982709931024,35.34,1.2011835625158527,70.1
