date,direction,day_total_veh,hours_present,hours_missing
2015-08-09,7,2226,24,0
2015-08-10,3,3273,24,0
2015-08-10,7,3303,24,0
2015-08-11,3,3449,24,0
2015-08-11,7,3548,24,0
2015-08-12,3,3302,24,0
2015-08-12,7,3306,24,0
2015-08-13,3,3324,24,0
2015-08-13,7,3401,24,0
2015-08-14,3,3688,24,0
2015-08-14,7,3739,24,0
2015-08-15,3,2780,24,0
2015-08-15,7,2940,24,0
2015-08-16,3,2120,24,0
2015-08-16,7,2214,24,0
2015-08-17,3,3112,24,0
2015-08-17,7,3212,24,0
2015-08-18,3,3236,24,0
2015-08-18,7,3254,24,0
2015-08-19,3,3019,24,0
2015-08-19,7,3052,24,0
2015-08-20,3,3174,24,0
2015-08-20,7,3184,24,0
2015-08-21,3,3483,24,0
2015-08-21,7,3523,24,0
2015-08-22,3,2633,24,0
2015-08-22,7,2618,24,0
2015-08-23,3,1915,24,0
2015-08-23,7,1985,24,0
2015-08-24,3,3004,24,0
2015-08-24,7,2994,24,0
2015-08-25,3,3229,24,0
2015-08-25,7,3231,24,0
2015-08-26,3,3369,24,0
2015-08-26,7,3477,24,0
2015-08-27,3,3305,24,0
2015-08-27,7,3369,24,0
2015-08-28,3,3457,24,0
2015-08-28,7,3484,24,0
2015-08-29,3,2682,24,0
2015-08-29,7,2814,24,0
2015-08-30,3,2150,24,0
2015-08-30,7,2227,24,0
2015-08-31,3,3024,24,0
2015-08-31,7,3036,24,0
2015-09-01,3,3147,24,0
2015-09-01,7,3248,24,0
2015-09-02,3,3095,24,0
2015-09-02,7,3184,24,0
2015-09-03,3,3236,24,0
2015-09-03,7,3261,24,0
2015-09-04,3,3588,24,0
2015-09-04,7,3784,24,0
2015-09-05,3,2722,24,0
2015-09-05,7,2716,24,0
2015-09-06,3,2139,24,0
2015-09-06,7,2165,24,0
2015-09-07,3,2132,24,0
2015-09-07,7,2327,24,0
2015-09-08,3,3187,24,0
2015-09-08,7,3205,24,0
2015-09-09,3,3143,24,0
2015-09-09,7,3114,24,0
2015-09-10,3,3243,24,0
2015-09-10,7,3280,24,0
2015-09-11,3,3425,24,0
2015-09-11,7,3368,24,0
2015-09-12,3,2999,24,0
2015-09-12,7,3041,24,0
2015-09-13,3,2038,24,0
2015-09-13,7,2135,24,0
2015-09-14,3,2960,24,0
2015-09-14,7,3029,24,0
2015-09-15,3,3033,24,0
2015-09-15,7,3104,24,0
2015-09-16,3,3186,24,0
2015-09-16,7,3212,24,0
2015-09-17,3,3177,24,0
2015-09-17,7,3236,24,0
2015-09-18,3,3604,24,0
2015-09-18,7,3591,24,0
2015-09-19,3,2813,24,0
2015-09-19,7,2969,24,0
2015-09-20,3,2043,24,0
2015-09-20,7,1991,24,0
2015-09-21,3,3085,24,0
2015-09-21,7,3103,24,0
2015-09-22,3,3347,24,0
2015-09-22,7,3369,24,0
2015-09-23,3,3091,24,0
2015-09-23,7,3140,24,0
2015-09-24,3,3212,24,0
2015-09-24,7,3222,24,0
2015-09-25,3,3748,24,0
2015-09-25,7,3784,24,0
2015-09-26,3,3026,24,0
2015-09-26,7,3094,24,0
2015-09-27,3,2189,24,0
2015-09-27,7,2240,24,0
2015-09-28,3,3099,24,0
2015-09-28,7,3106,24,0
2015-09-29,3,3035,24,0
2015-09-29,7,3062,24,0
2015-09-30,3,3157,24,0
2015-09-30,7,3159,24,0
2015-10-01,3,3146,24,0
2015-10-01,7,3127,24,0
2015-10-02,3,3786,24,0
2015-10-02,7,3820,24,0
2015-10-03,3,2937,24,0
2015-10-03,7,3027,24,0
2015-10-04,3,2295,24,0
2015-10-04,7,2320,24,0
2015-10-05,3,3126,24,0
2015-10-05,7,3129,24,0
2015-10-06,3,3098,24,0
2015-10-06,7,3105,24,0
2015-10-07,3,3223,24,0
2015-10-07,7,3224,24,0
2015-10-08,3,3273,24,0
2015-10-08,7,3380,24,0
2015-10-09,3,3510,24,0
2015-10-09,7,3344,24,0
2015-10-10,3,2678,24,0
2015-10-10,7,2707,24,0
2015-10-11,3,2040,24,0
2015-10-11,7,2121,24,0
2015-10-12,3,3006,24,0
2015-10-12,7,2986,24,0
